n_samples,n_features,n_classes,frac_categorical,ratio_samples_per_feature,col_min_mean,col_min_std,col_max_mean,col_max_std,col_mean_mean,col_mean_std,col_std_mean,col_std_std,col_skew_mean,col_skew_std,col_kurt_mean,col_kurt_std,tree_node_count,tree_leaf_count,tree_depth_max,tree_leaf_depth_mean,dummy_mf_acc_mean,gnb_acc_mean,linsvc_acc_mean,logreg_acc_mean,knn5_acc_mean,dt_acc_mean,meta_target_best_algo,did,name,elapsed_sec
270,13,2,0.0,20.76923076923077,25.0,41.58402059963381,82.4,156.07950636676267,46.03603988603989,77.17823664325276,8.42357412767969,14.366367213523297,0.42696309072772354,0.8391340923597838,0.11514511097134256,1.8476470074174955,43,22,5,4.590909090909091,0.5555555555555556,0.8481481481481481,0.837037037037037,0.8333333333333334,0.8111111111111111,0.7148148148148148,gnb_acc_mean,53,heart-statlog,0.169
846,18,4,0.0,47.0,78.38888888888889,61.34070507228811,198.88888888888889,221.00122897820398,117.63494877856581,103.39077095141654,22.757377250037585,38.79815003495318,1.0415777283622751,1.6518521241768302,5.1531405165147595,14.822384535391619,49,25,5,4.76,0.257688827010094,0.45036547163244,0.7919387399930387,0.7895509919944309,0.7092516533240515,0.7233623390184476,linsvc_acc_mean,54,vehicle,0.385
435,16,2,0.0,27.1875,,,,,,,,,,,,,31,16,5,4.1875,0.6137931034482759,0.9333333333333332,0.9632183908045976,0.9632183908045977,0.9379310344827587,0.9333333333333332,logreg_acc_mean,56,vote,0.386
351,33,2,0.0,10.636363636363637,-0.9696969696969697,0.17141982574219336,1.0,0.0,0.2552029672796339,0.24394731423062876,0.5251381269031516,0.06494706857386537,-0.5844736447200432,0.6388571239165386,0.3611275170064938,1.0766681438036416,23,12,5,4.0,0.641046277665996,0.8916297786720323,0.88897384305835,0.8775050301810865,0.8462374245472837,0.9060764587525151,dt_acc_mean,59,ionosphere,0.281
5000,40,3,0.0,125.0,-3.18525,0.6185183404718085,5.160500000000001,1.9233316796642226,0.8994882000000001,1.1602620368909602,1.2709884790296417,0.34709245163834684,0.03546827362426726,0.11805459884570657,-0.19641749321969718,0.25991711459183475,63,32,5,5.0,0.33840000000000003,0.8004,0.867,0.8658000000000001,0.7744000000000001,0.7419999999999999,linsvc_acc_mean,60,waveform-5000,1.414
39366,9,2,0.0,4374.0,,,,,,,,,,,,,63,32,5,5.0,0.6564000000000001,0.7098,0.734,0.7358,0.756,0.7123999999999999,knn5_acc_mean,137,BNG(tic-tac-toe),0.808
45312,8,2,0.0,5664.0,0.0,0.0,1.0,0.0,0.3441820375901686,0.20127325276129188,0.16041671020254603,0.11281082229713889,12.618112702577076,27.150279873383766,1029.170540784117,2457.69675926803,63,32,5,5.0,0.572,0.7162,0.7576,0.761,0.7779999999999999,0.7962,dt_acc_mean,151,electricity,0.697
339,17,21,0.0,19.941176470588236,,,,,,,,,,,,,35,18,5,4.388888888888889,,,,,,,,171,primary-tumor,0.019
48842,14,2,0.0,3488.714285714286,6143.0,6142.0,745208.0,745192.0,94837.1063429016,94827.02825437124,52802.75764301932,52800.18669658315,0.5611835109305496,0.8777083675912916,3.341796742626315,2.716051469838391,55,28,5,4.857142857142857,0.7676000000000001,0.7676000000000001,0.861,0.8628,0.8256,0.8028000000000001,logreg_acc_mean,179,adult,1.459
1484,8,10,0.0,185.5,0.11875,0.1621293850602043,0.9450000000000001,0.09848857801796106,0.3811969339622642,0.17204069323741814,0.0966314601139886,0.03260554966368212,2.912827303657759,4.36840422339996,28.66087842590639,43.36042697272081,53,27,5,4.851851851851852,0.311996086996087,0.15631768131768128,0.5788788788788788,0.5903221403221404,0.5505505505505506,0.5141596141596141,logreg_acc_mean,181,yeast,0.315
6430,36,6,0.0,178.61111111111111,-2.595993833333333,0.2859672439591348,2.8229496111111114,0.6423625804513574,-0.0005560885260065678,0.00021151295825908026,0.9999442301546048,0.00016883124816541542,0.04046023385100365,0.5578673519550533,-0.15411688047872604,0.8340190537758795,63,32,5,5.0,0.2378,0.7956000000000001,0.8293999999999999,0.8538,0.905,0.8469999999999999,knn5_acc_mean,182,satimage,1.337
4177,8,28,0.0,522.125,0.019285714285714288,0.029408280105703396,1.2390714285714286,0.6971122285426311,0.38270340982933754,0.22064164675252704,0.17459748528744562,0.13819700354230924,0.6203687756176234,1.159489687779909,11.033153238708147,26.534117496757112,59,30,5,4.933333333333334,,,,,,,,183,abalone,0.029
28056,6,18,0.0,4676.0,,,,,,,,,,,,,63,32,5,5.0,0.1581999326425231,0.10899560784121687,0.33839906688530247,0.35959914859765146,0.4289999143028537,0.5104022412804354,dt_acc_mean,184,kropt,0.973
1340,16,3,0.0,83.75,34.358399999999996,67.80721770804836,2196.769266666667,3449.511836755813,637.4240550806572,1124.616488196644,324.80828020777557,514.7868193664148,0.8335889988230138,0.9323510082115145,2.141222274920929,2.0763835051180792,45,23,5,4.695652173913044,0.9067164179104477,0.8350746268656717,0.9388059701492537,0.9432835820895523,0.9298507462686567,0.9097014925373135,logreg_acc_mean,185,baseball,0.457
412,8,7,0.0,51.5,10.857673816,7.028605218780011,1833.4100841857498,2580.3876674014696,297.9299019292087,427.7987289333533,227.17412426052925,315.81791763895154,1.1146964673080748,1.5006932423999348,5.321603580017828,5.026882780720251,19,10,5,4.1,,,,,,,,186,braziltourism,0.017
736,19,5,0.0,38.73684210526316,207.33571428571426,537.5859873374982,3540.1635714285717,10735.52851676393,390.0868288072738,720.1282603792175,172.49288153034166,413.65634862760646,2.5514530161151705,7.132742337929585,62.865966258133255,190.040917646126,41,21,5,4.666666666666667,0.2907611693325979,0.45658209229637803,0.600533186247472,0.6535760250045964,0.5856775142489429,0.6345284059569775,logreg_acc_mean,188,eucalyptus,0.475
39366,9,2,0.0,4374.0,0.771111,0.3490413572566373,12.304476666666666,1.2110027093909501,3.1286446768700573,0.6940682831580797,2.748761010369389,0.5258602851128491,1.4711308660595714,0.7814895443695725,1.6364049182723184,3.881656116448082,63,32,5,5.0,0.6526000000000001,0.9571999999999999,0.9802,0.9802,0.9826,0.9692000000000001,knn5_acc_mean,251,BNG(breast-w),0.504
45164,74,11,0.0,610.3243243243244,-140.3267622027027,1131.0998847185392,39437.46860767567,236010.67532457615,13539.848993058871,81110.9756850095,8054.790598861955,48172.3770990245,0.774898661190713,4.907742854601313,52.62876662521896,345.3315761672869,53,27,5,4.814814814814815,,,,,,,,279,meta_stream_intervals.arff,1.477
3772,27,4,0.0,139.7037037037037,0.8841666666666667,0.8538658006710161,303.82,214.13710094236356,46.436689696411385,47.79460816075828,19.051153247658576,14.079403587022892,3.5691918824691036,4.619724818308129,51.41313506551004,84.5013084551575,21,11,5,3.727272727272727,0.9228525980911984,0.1752386002120891,0.9461823966065748,0.9544008483563097,0.9382290562036055,0.9954931071049842,dt_acc_mean,57,hypothyroid,0.522
3772,27,2,0.0,139.7037037037037,0.8841666666666667,0.8538658006710161,303.82,214.13710094236356,46.436689696411385,47.79460816075828,19.051153247658576,14.079403587022892,3.5691918824691036,4.619724818308129,51.41313506551004,84.5013084551575,45,23,5,4.6521739130434785,0.938759463874787,0.3798956558399354,0.9663291583958402,0.96765541834279,0.9697767316036326,0.9878033270679994,dt_acc_mean,38,sick,1.09
990,12,11,0.0,82.5,-1.9466999999999999,1.1718809709181222,1.8246000000000002,1.3997468485408353,-0.10318040404040403,1.2215925056182673,0.6989785238216653,0.19157792754358063,0.09111527285062486,0.160005616727564,-0.39142721501684685,0.25964376694636393,39,20,5,4.65,0.09090909090909091,0.36363636363636365,0.6525252525252526,0.7434343434343434,0.904040404040404,0.8171717171717171,knn5_acc_mean,307,vowel,0.496
11183,6,2,0.0,1863.8333333333333,-0.6715638566666667,0.2067347397809537,16.8715624,11.784499604147697,-1.997382621687708e-11,1.374575341287398e-09,0.9999552890128648,1.6305218632716427e-09,4.443275632344252,3.1858743004413164,62.75332612137243,65.04550198013335,47,24,5,4.708333333333333,0.9772000000000001,0.9568,0.9809999999999999,0.9827999999999999,0.9852000000000001,0.9792,knn5_acc_mean,310,mammography,0.347
937,48,2,0.0,19.520833333333332,1537.515,10036.516653740191,1494050.0947916666,10184469.144446604,16438.996173292424,109881.47477381215,80338.55595621439,546816.4588592513,3.853022028298105,5.251353963717979,51.70561684818716,103.02446880382332,29,15,5,4.133333333333334,0.9562464444191603,0.9274263283650017,0.9680054613721698,0.9637273865058595,0.9647855273637502,0.9498463989077257,linsvc_acc_mean,311,oil_spill,0.363
556,6,2,0.0,92.66666666666667,,,,,,,,,,,,,15,8,5,3.75,0.49639639639639643,0.7463481338481337,0.7463481338481337,0.7463481338481337,0.8740508365508365,0.956853281853282,dt_acc_mean,333,monks-problems-1,0.24
601,6,2,0.0,100.16666666666667,,,,,,,,,,,,,51,26,5,4.8076923076923075,0.6572451790633609,0.5442011019283746,0.6306611570247933,0.6190495867768595,0.580702479338843,0.9766666666666666,dt_acc_mean,334,monks-problems-2,0.253
554,6,2,0.0,92.33333333333333,,,,,,,,,,,,,25,13,5,4.076923076923077,0.5198525798525798,0.9238984438984439,0.9657002457002457,0.9638984438984439,0.9368222768222768,0.9675020475020476,dt_acc_mean,335,monks-problems-3,0.25
267,22,2,0.0,12.136363636363637,,,,,,,,,,,,,35,18,5,4.333333333333333,0.7939902166317262,0.5617749825296995,0.797624039133473,0.8129280223619846,0.7716282320055905,0.7414395527603075,logreg_acc_mean,336,SPECT,0.364
349,44,2,0.0,7.931818181818182,18.954545454545453,10.593639913248431,81.13636363636364,3.2234292093620724,65.03223495702005,4.638521828103145,9.299552883681109,2.235753142229107,-1.8210042360503842,0.6123688626843645,5.782937715235994,4.270606354597707,29,15,5,4.333333333333333,0.7277846790890269,0.730351966873706,0.8221532091097309,0.8192960662525881,0.7364389233954451,0.8767701863354038,dt_acc_mean,337,SPECTF,0.257
9961,14,9,0.0,711.5,-0.5036832142857143,0.7055309683362269,8.958254642857142,23.100495606531325,2.0532722924190057,5.559463962906836,1.7054661304964447,4.1336100832898985,0.10983669969140818,0.5042984176457732,-0.03718575752002051,1.092766148563457,63,32,5,5.0,0.1628,0.8586,0.9296000000000001,0.9387999999999999,0.9628,0.8320000000000001,knn5_acc_mean,375,JapaneseVowels,1.024
600,60,6,0.0,10.0,7.978913906666667,7.466766196318672,52.82164,6.3951766465360445,30.09216547040833,0.742522520110295,9.743561446110935,3.7684415128084185,0.0340046995069279,0.2887270041823522,-0.557406165998328,0.5979670560520856,31,16,5,4.5,0.16666666666666666,0.9450000000000001,0.915,0.985,0.9733333333333334,0.8999999999999998,logreg_acc_mean,377,synthetic_control,0.397
8844,59,7,0.0,149.89830508474577,,,,,,,,,,,,,33,17,5,4.764705882352941,0.6618,0.7424,0.7994,0.8084,0.7662,0.7972,logreg_acc_mean,378,ipums_la_99-small,26.47
7485,59,7,0.0,126.86440677966101,,,,,,,,,,,,,33,17,5,4.764705882352941,0.6458,0.7205999999999999,0.7782,0.7846000000000001,0.753,0.7651999999999999,logreg_acc_mean,381,ipums_la_98-small,28.725
7019,59,8,0.0,118.96610169491525,,,,,,,,,,,,,63,32,5,5.0,0.2792,0.22319999999999998,0.39499999999999996,0.43739999999999996,0.376,0.40920000000000006,logreg_acc_mean,382,ipums_la_97-small,28.226
200,7,2,0.0,28.571428571428573,8.766666666666667,5.472253243002882,36.18333333333333,14.718063353882158,22.728666666666665,9.21438559475828,6.475659579421926,4.064991924318469,-0.0190733150394533,0.048366166647371034,-0.628048913664785,0.2780054040039968,21,11,5,3.909090909090909,0.5,0.61,0.9949999999999999,0.9850000000000001,0.9099999999999999,0.9099999999999999,linsvc_acc_mean,446,prnn_crabs,0.237
264,4,2,0.0,66.0,2.6,2.410269694453299,44.29666666666666,12.287772603509374,22.790694444444444,9.54462423238267,8.863572000281353,3.012079495682348,-0.07121892208927279,0.7874517796748779,0.3623505866129008,0.7327193546355549,9,5,3,2.4,0.9280841799709725,0.9506531204644413,0.9697387518142235,0.9660377358490566,0.9433236574746008,0.9697387518142234,linsvc_acc_mean,450,analcatdata_lawsuit,0.244
500,5,2,0.0,100.0,41.5,23.5,107.5,32.5,69.54329957805908,30.608700421940927,15.379203677606728,0.06168023491589558,0.18305241588218404,0.263089842718354,-0.4494667691339811,0.0513296771514522,19,10,5,3.8,0.556,0.9880000000000001,0.9880000000000001,0.986,0.968,0.968,gnb_acc_mean,451,irish,0.298
285,7,7,0.0,40.714285714285715,10.450000000000001,13.364318164425748,37.193333333333335,45.52824861799783,27.334509028713217,34.31668855309263,7.06878159973168,8.195329875794632,-0.07535829498197828,0.4149222987877474,-1.1359218836162748,0.3943256419438807,51,26,5,4.8076923076923075,0.4140350877192982,0.21403508771929824,0.5473684210526316,0.5403508771929825,0.45614035087719296,0.48421052631578937,linsvc_acc_mean,452,analcatdata_broadwaymult,0.334
1340,16,3,0.0,83.75,34.358399999999996,67.80721770804836,2196.769266666667,3449.511836755813,637.4240550806572,1124.616488196644,324.80828020777557,514.7868193664148,0.8335889988230138,0.9323510082115145,2.141222274920929,2.0763835051180792,45,23,5,4.695652173913044,0.9067164179104477,0.8350746268656717,0.9388059701492537,0.9432835820895523,0.9298507462686567,0.9097014925373135,logreg_acc_mean,454,analcatdata_halloffame,0.467
406,7,3,0.0,58.0,302.3333333333333,586.6744317667925,996.4000000000001,1858.8597687830033,565.7052182195873,1081.0728788865508,167.30403487881938,305.57844549950653,0.49034921977011964,0.32314833525461173,-0.4047003409141506,0.6431937871109575,27,14,5,4.357142857142857,0.6256248118036736,0.6747666365552545,0.7584763625414033,0.7635049683830173,0.756007226738934,0.8250828063836193,dt_acc_mean,455,cars,0.265
841,70,4,0.0,12.014285714285714,0.8285714285714286,3.401560266245178,34.4,30.209459256521434,10.12524205877357,13.27390110482709,5.3533405195349895,4.7115994328308055,1.1147021119329903,0.6778125117860878,2.359129460351534,3.6342633915158182,37,19,5,4.421052631578948,0.37693012116089036,0.9821569456184841,0.9928571428571429,0.9988095238095237,0.9952380952380953,0.9227176669484362,logreg_acc_mean,458,analcatdata_authorship,0.36
340,14,2,0.0,24.285714285714285,0.9823333333333334,1.815913559494382,24.13166666666666,75.94116942666138,11.978481991780995,36.99572290523838,7.552858824791676,24.63125822414454,-0.034557428006484626,0.21342693149425476,0.4784980761712922,0.9135136841074242,21,11,5,4.181818181818182,0.5205882352941176,0.5852941176470589,0.5941176470588235,0.5970588235294118,0.5794117647058823,0.8,dt_acc_mean,466,schizo,0.301
797,4,6,0.0,199.25,,,,,,,,,,,,,47,24,5,4.708333333333333,0.1944811320754717,0.20454402515723272,0.2108254716981132,0.21209119496855347,0.1881446540880503,0.18822327044025156,logreg_acc_mean,469,analcatdata_dmft,0.297
672,8,2,0.0,84.0,18.0,35.50211261319529,47.1,27.52526112501024,28.800744047619048,31.211298513861024,5.645659350451739,3.494671542559203,0.3391636553707359,0.3217029078260171,-0.36347116924209577,0.855387342181702,49,25,5,4.72,0.6666666666666667,0.45236042012161415,0.7335876174682145,0.7231398562741846,0.6145494748479823,0.5847650635710336,linsvc_acc_mean,470,profb,0.35
362,32,5,0.0,11.3125,,,,,,,,,,,,,41,21,5,4.714285714285714,0.5608447488584474,0.25418569254185697,0.4834094368340943,0.49455859969558597,0.5166286149162861,0.47229832572298325,dummy_mf_acc_mean,474,analcatdata_marketing,0.524
400,5,4,0.0,80.0,0.0,0.0,198.0,0.0,15.0975,0.0,29.988130881233662,0.0,3.2218216628239054,0.0,11.93641680597003,0.0,45,23,5,4.739130434782608,0.25,0.29250000000000004,0.35750000000000004,0.34249999999999997,0.25250000000000006,0.30999999999999994,linsvc_acc_mean,475,analcatdata_germangss,0.281
209,8,2,0.0,26.125,1553.2571428571428,3487.0295090140394,17684.1,41806.15240132553,9607.618529622008,22931.688790176602,4224.77030718477,10153.456315050224,1.5923506450915532,1.8190770641585479,7.392455226696777,10.134054027629091,17,9,5,3.6666666666666665,0.6411149825783973,0.8996515679442508,0.8853658536585366,0.8853658536585366,0.875725900116144,0.8901277584204413,gnb_acc_mean,481,biomed,0.247
1161,14,4,0.0,82.92857142857143,158.76923076923077,127.4592869212958,906.7692307692307,471.45864552245706,335.77908459577486,204.30341446364375,109.20922051621497,68.37570408164203,1.387123176911953,1.1137260306398231,4.00367497059147,5.04030488384603,53,27,5,4.851851851851852,,,,,,,,488,colleges_aaup,0.024
310,8,9,0.0,38.75,76.3031875,119.5121897571168,224.7454,289.10399701544685,144.80141233870967,188.50091702539032,40.91803089752344,51.52414826840664,0.11568235418091463,0.35927700283980785,-0.776846535221969,0.6886164763666222,17,9,4,3.3333333333333335,0.13225806451612904,0.8806451612903226,0.8,0.864516129032258,0.9741935483870968,0.9967741935483871,dt_acc_mean,694,diggle_table_a2,0.226
1000,25,2,0.0,40.0,-1.8277704399999999,0.21844779141389,1.91729264,0.6101693440484783,-1.6000000098159708e-10,1.0313796585405884e-08,0.9994999059503387,1.15680672425404e-08,0.06452395123462361,0.30581303630946877,-0.9895953140885926,0.6597004945663355,53,27,5,4.814814814814815,0.5570000000000002,0.675,0.673,0.6689999999999999,0.649,0.8460000000000001,dt_acc_mean,715,fri_c3_1000_25,0.314
508,10,2,0.0,50.8,31.318,42.94543626510272,76.33999999999999,66.40556015876983,48.00183464566929,50.26300468114144,7.470359961313146,4.540076121900683,0.8165731342791582,0.8019279727939392,1.7234641598935436,3.725889218838193,41,21,5,4.571428571428571,0.5629974762182101,0.842516016307513,0.8916909337992622,0.8956125024267132,0.8700834789361289,0.848417782954766,logreg_acc_mean,717,rmftsa_ladata,0.18
