,n_samples,n_features,n_classes,frac_categorical,ratio_samples_per_feature,tree_node_count,tree_leaf_count,tree_depth_max,tree_leaf_depth_mean,dummy_mf_acc_mean,gnb_acc_mean,linsvc_acc_mean,logreg_acc_mean,knn5_acc_mean,dt_acc_mean
0,3196,36,2,0.0,88.77777777777777,23,12,5,4.333333333333333,0.5222153755868545,0.6220222026604069,0.9709047339593112,0.96589739827856,0.9336673513302036,0.9953085876369328
1,3196,36,2,0.0,88.77777777777777,45,23,5,4.782608695652174,0.5222153755868545,0.5901051447574335,0.9026887715179968,0.9089485524256652,0.8798518192488263,0.8886120892018778
